70;Bahia Azul;1;B-40;21000.00;170;150;0;14/12/2018 13:08;0
71;Bahia Azul;1;B-41;21000.00;170;150;0;14/12/2018 13:08;0
72;Bahia Azul;1;B-42;23427.60;170;167;0;14/12/2018 13:08;0
73;Bahia Azul;1;B-43;21000.00;170;150;0;14/12/2018 13:08;0
74;Bahia Azul;1;B-44;21000.00;150;150;0;14/12/2018 13:08;0
75;Bahia Azul;1;B-45;21000.00;170;150;0;14/12/2018 13:08;0
76;Bahia Azul;1;B-46;21000.00;170;150;0;14/12/2018 13:08;0
77;Bahia Azul;1;B-47;22775.20;170;163;0;14/12/2018 13:08;0
78;Bahia Azul;1;B-48;22745.80;150;162;0;14/12/2018 13:08;0
79;Bahia Azul;1;C-01;21658.00;150;155;0;14/12/2018 13:08;0
80;Bahia Azul;1;C-02;22792.00;150;163;0;14/12/2018 13:08;0
81;Bahia Azul;1;C-03;21000.00;150;150;0;14/12/2018 13:08;0
82;Bahia Azul;1;C-04;21000.00;150;150;0;14/12/2018 13:08;0
83;Bahia Azul;1;C-05;21000.00;150;150;0;14/12/2018 13:08;0
84;Bahia Azul;1;C-06;21000.00;150;150;0;14/12/2018 13:08;0
85;Bahia Azul;1;C-07;23452.80;150;168;0;14/12/2018 13:08;0
86;Bahia Azul;1;C-08;21000.00;150;150;0;14/12/2018 13:08;0
87;Bahia Azul;1;C-09;21000.00;150;150;0;14/12/2018 13:08;0
88;Bahia Azul;1;C-10;21000.00;150;150;0;14/12/2018 13:08;0
89;Bahia Azul;1;C-11;22135.40;150;158;0;14/12/2018 13:08;0
90;Bahia Azul;1;C-12;22071.00;150;158;0;14/12/2018 13:08;0
91;Bahia Azul;1;C-13;21000.00;150;150;0;14/12/2018 13:08;0
92;Bahia Azul;1;C-14;21000.00;150;150;0;14/12/2018 13:08;0
93;Bahia Azul;1;C-15;21000.00;150;150;0;14/12/2018 13:08;0
94;Bahia Azul;1;C-16;21000.00;150;150;0;14/12/2018 13:08;0
95;Bahia Azul;1;C-17;20256.60;150;145;0;14/12/2018 13:08;0
96;Bahia Azul;1;C-18;20921.60;150;149;0;14/12/2018 13:08;0
97;Bahia Azul;1;C-19;0.00;;4231;0;14/12/2018 13:08;0
98;Bahia Azul;1;C-20;20192.20;150;144;0;14/12/2018 13:08;0
99;Bahia Azul;1;C-21;16800.00;150;120;0;14/12/2018 13:08;0
100;Bahia Azul;1;C-22;16800.00;150;120;0;14/12/2018 13:08;0
101;Bahia Azul;1;C-23;16800.00;150;120;0;14/12/2018 13:08;0
102;Bahia Azul;1;C-24;19625.20;150;140;0;14/12/2018 13:08;0
103;Bahia Azul;1;C-25;14000.00;150;100;0;14/12/2018 13:08;0
104;Bahia Azul;1;C-26;14000.00;150;100;0;14/12/2018 13:08;0
105;Bahia Azul;1;C-27;19672.80;150;141;0;14/12/2018 13:08;0
106;Bahia Azul;1;C-28;20335.00;150;145;0;14/12/2018 13:08;0
107;Bahia Azul;1;C-29;14000.00;150;100;0;14/12/2018 13:08;0
108;Bahia Azul;1;C-30;14000.00;150;100;0;14/12/2018 13:08;0
109;Bahia Azul;1;C-31;14338.80;150;102;0;14/12/2018 13:08;0
110;Bahia Azul;1;C-32;14989.80;150;107;0;14/12/2018 13:08;0
111;Bahia Azul;1;C-33;16679.60;150;119;0;14/12/2018 13:08;0
112;Bahia Azul;1;C-34;17200.40;150;123;0;14/12/2018 13:08;0
113;Bahia Azul;1;C-35;17214.40;150;123;0;14/12/2018 13:08;0
114;Bahia Azul;1;C-36;14362.60;150;103;0;14/12/2018 13:08;0
115;Bahia Azul;1;C-37;0.00;0;2116;0;14/12/2018 13:08;0
